"SKU","Product","Package ID","Category","Tags","Batch","Expiration date","Packaging date"
39255746,Mojo Medibles Splendidly Sweetener-20mg,11318,Edibles,,11318,,6/8/2023
39255746,Mojo Medibles Splendidly Sweetener-20mg,11665,Edibles,,11665,,6/29/2023
44196433,"Baked Bliss Sour Candy Drops, Grape - 600mg",11906,Edibles,,11906,,7/28/2023
537F8B,MEDCo French Caramel - 50mg,12936,Edibles,,12936,1/11/2024,11/13/2023
44450778,"MEDCo Snackers, Nashville Hot-50mg",13500,Edibles,,13500,7/21/2024,1/24/2024
85691180,"MEDCo Snackers, Garden Herb-50mg",13985,Edibles,,13985,9/15/2024,3/19/2024
A3AC48,"MEDCo, Space Krispy-100mg",13984,Edibles,,13984,6/17/2024,3/19/2024
57440488,"MEDCo Gumeaze, Blue Raspberry-100mg",14474,Edibles,,14474,11/9/2024,5/13/2024
49607582,"Baked Bliss Gummies, Mixed Flavor-2000mg",13743,Edibles,,13743,,6/4/2024
53A80C,MEDCo Herb Roasted Cashews-100mg,14822,Edibles,40% Discount Edibles,14822,12/22/2024,6/25/2024
06868067,"Baked Bliss Sour Candy Drops, Pink Lemonade - 600mg",14940,Edibles,40% Discount Edibles,14940,,7/10/2024
49607582,"Baked Bliss Gummies, Mixed Flavor-2000mg",15022,Edibles,,15022,,7/24/2024
24000761,"MEDCo Gumeaze, Mango- 100mg",15046,Edibles,20% Discount Edibles,15046,1/27/2025,7/31/2024
85691180,"MEDCo Snackers, Garden Herb-50mg",14823,Edibles,,14823,12/22/2024,6/25/2024
26237537,"MEDCo Gumeaze, Fuzzy Navel-100mg",13779,Edibles,,13779,8/23/2024,2/26/2024
57440515,"MEDCo Gumeaze, Wild Berry-100mg",14475,Edibles,,14475,11/9/2024,5/13/2024
32786009,Cured Pineapple Chunks - 100mg,15246,Edibles,,15246,,8/22/2024
44450778,"MEDCo Snackers, Nashville Hot-50mg",15040,Edibles,20% Discount Edibles,15040,1/25/2025,7/29/2024
53A80C,MEDCo Herb Roasted Cashews-100mg,14089,Edibles,,14089,9/28/2024,4/1/2024
5C818F,"MEDCo Fairy Dust, Watermelon-20mg",15656,Edibles,40% Discount Edibles,15656,12/24/2024,10/25/2024
6B5E4D,"MEDCo Fairy Dust, Blue Raspberry-20mg",15655,Edibles,40% Discount Edibles,15655,12/24/2024,10/25/2024
46842461,Baked Bliss Hash Rosin Gummies -200mg,15891,Edibles,,15891,,11/22/2024
14934348,"Baked Bliss Sour Fruit Chews, Assorted Flavors - 50mg",15889,Edibles,,15889,,11/22/2024
6B5E4D,"MEDCo Fairy Dust, Blue Raspberry-20mg",15655,Edibles,40% Discount Edibles,15655,12/24/2024,10/25/2024
43941818,"Sola Edibles Indica Gummies, Mixed Berry - 500mg",16086,Edibles,,16086,3/30/2025,12/30/2024
46889672,"Kind Farms Confections Pretzel Bag, White Chocolate-300mg",16117,Edibles,,16117,11/11/2025,1/2/2025
00943168,"MEDCo Lollipop, Key Lime Pie-25mg",16111,Edibles,20% Discount Edibles,16111,4/2/2025,1/2/2025
81786039,"Baked Bliss Chocolate Bar, Dark Chocolate-1000mg",16138,Edibles,,16138,6/6/2025,6/6/2025
74792548,"Baked Bliss Chocolate Bar, Milk Chocolate-1000mg",16139,Edibles,,16139,6/6/2025,1/7/2025
44558079,"MEDCo Gumeaze, Watermelon-100mg",16183,Edibles,,16183,7/13/2025,1/14/2025
5C818F,"MEDCo Fairy Dust, Watermelon-20mg",16266,Edibles,40% Discount Edibles,16266,3/23/2025,1/22/2025
92596059,"MEDCo Fairy Dust, Cherry-20mg",16267,Edibles,40% Discount Edibles,16267,3/23/2025,1/22/2025
5C818F,"MEDCo Fairy Dust, Watermelon-20mg",16266,Edibles,40% Discount Edibles,16266,3/23/2025,1/22/2025
6B5E4D,"MEDCo Fairy Dust, Blue Raspberry-20mg",16268,Edibles,40% Discount Edibles,16268,3/23/2025,1/22/2025
81786039,"Baked Bliss Chocolate Bar, Dark Chocolate-1000mg",16310,Edibles,,16310,7/1/2025,1/30/2025
74792548,"Baked Bliss Chocolate Bar, Milk Chocolate-1000mg",16311,Edibles,,16311,7/1/2025,1/30/2025
46842461,Baked Bliss Hash Rosin Gummies -200mg,16312,Edibles,,16312,7/1/2025,1/30/2025
52036364,"Sola Edibles Sativa Gummies, Strawberry-1000mg",16341,Edibles,,16341,5/5/2025,2/4/2025
