"SKU","Product","Package ID","Category","Tags","Unit price (Inventory)","Batch","External package ID","Inventory date","Expiration date","Packaging date","Date of manufacture","Quantity (including allocated)","Current price","Price (Catalog)"
39255746,Mojo Medibles Splendidly Sweetener-20mg,11318,Edibles,,3.7,11318,11318,6/8/2023,,6/8/2023,,3,3.7,3.7
39255746,Mojo Medibles Splendidly Sweetener-20mg,11665,Edibles,,3.7,11665,11665,6/29/2023,,6/29/2023,,3,3.7,3.7
44196433,"Baked Bliss Sour Candy Drops, Grape - 600mg",11906,Edibles,,33.33,11906,11906,7/28/2023,,7/28/2023,,1,33.33,33.33
537F8B,MEDCo French Caramel - 50mg,12936,Edibles,,5.55,12936,12936,11/13/2023,1/11/2024,11/13/2023,,1,5.55,5.55
44450778,"MEDCo Snackers, Nashville Hot-50mg",13500,Edibles,,6.48,13500,13500,1/24/2024,7/21/2024,1/24/2024,,1,6.48,6.48
85691180,"MEDCo Snackers, Garden Herb-50mg",13985,Edibles,,6.48,13985,13985,3/19/2024,9/15/2024,3/19/2024,,1,6.48,6.48
A3AC48,"MEDCo, Space Krispy-100mg",13984,Edibles,,12.03,13984,13984,3/19/2024,6/17/2024,3/19/2024,,1,12.03,12.03
57440488,"MEDCo Gumeaze, Blue Raspberry-100mg",14474,Edibles,,12.03,14474,14474,5/13/2024,11/9/2024,5/13/2024,,1,12.03,12.03
49607582,"Baked Bliss Gummies, Mixed Flavor-2000mg",13743,Edibles,,80.56,13743,,6/4/2024,,6/4/2024,,1,80.56,80.56
53A80C,MEDCo Herb Roasted Cashews-100mg,14822,Edibles,40% Discount Edibles,12.03,14822,14822,6/25/2024,12/22/2024,6/25/2024,,6,12.03,12.03
06868067,"Baked Bliss Sour Candy Drops, Pink Lemonade - 600mg",14940,Edibles,40% Discount Edibles,33.33,14940,14940,7/10/2024,,7/10/2024,,1,33.33,33.33
49607582,"Baked Bliss Gummies, Mixed Flavor-2000mg",15022,Edibles,,80.56,15022,15022,7/24/2024,,7/24/2024,,1,80.56,80.56
24000761,"MEDCo Gumeaze, Mango- 100mg",15046,Edibles,20% Discount Edibles,12.03,15046,15046,7/31/2024,1/27/2025,7/31/2024,,4,12.03,12.03
